deputado_id,deputado_nome,deputado_partido,deputado_uf,total_gasto
204526,Luiz Philippe de Orleans e Bragança,PL,SP,1416321.97
73604,Rui Falcão,PT,SP,1415939.89
204464,Talíria Petrone,PSOL,RJ,1412760.89
220605,Bandeira de Mello,PV,RJ,1412394.86
220602,Dimas Gadelha,PT,RJ,1410443.41
204494,Fred Costa,PRD,MG,1409320.03
220621,Sargento Gonçalves,PL,RN,1408626.88
220661,Matheus Noronha,PL,CE,1405822.17
220623,Duda Salabert,PSOL,MG,1405242.33
204572,Capitão Alberto Neto,PL,AM,1402138.85
220630,Pedro Aihara,PP,MG,1401433.12
160640,Eros Biondini,PL,MG,1401215.83
214694,Jorge Goetten,REPUBLICANOS,SC,1400782.51
220676,Andreia Siqueira,PSB,PA,1400617.01
74848,Jandira Feghali,PCdoB,RJ,1387248.80
220565,Delegada Adriana Accorsi,PT,GO,1387053.58
204573,Otto Alencar Filho,PSD,BA,1386581.98
73531,Ivan Valente,PSOL,SP,1378487.61
73801,Renildo Calheiros,PCdoB,PE,1378290.51
160976,Tiririca,PSD,SP,1377231.94
204374,Bia Kicis,PL,DF,1376643.69
220534,Fred Linhares,REPUBLICANOS,DF,1373116.96
220604,Marcos Tavares,PDT,RJ,1372531.65
220532,Rafael Prudente,MDB,DF,1369455.69
141480,Lázaro Botelho,PP,TO,1369042.18
160161,Marcelo Queiroz,PSDB,RJ,1367186.85
220681,Fábio Macedo,PODE,MA,1364053.73
178966,Geovania de Sá,REPUBLICANOS,SC,1360421.43
218086,Ely Santos,REPUBLICANOS,SP,1357640.81
220665,Clarissa Tércio,PP,PE,1353784.34
204571,Alex Santana,REPUBLICANOS,BA,1353670.21
220616,Luciano Vieira,PSDB,RJ,1353207.35
198197,Greyce Elias,PL,MG,1345598.85
178896,Newton Cardoso Jr,MDB,MG,1345245.68
220686,Duarte Jr.,AVANTE,MA,1335330.05
220645,Erika Hilton,PSOL,SP,1333970.40
220660,Yury do Paredão,MDB,CE,1328492.04
220526,Gilvan da Federal,PL,ES,1323607.60
204539,Hercílio Coelho Diniz,MDB,MG,1320195.22
73778,Luiz Carlos Hauly,PODE,PR,1319657.73
204474,Juarez Costa,REPUBLICANOS,MT,1318366.70
178937,Altineu Côrtes,PL,RJ,1307339.06
226708,Allan Garcês,PP,MA,1302604.62
220569,Silvye Alves,UNIÃO,GO,1299092.92
204422,Ossesio Silva,REPUBLICANOS,PE,1298114.06
220638,Antonio Carlos Rodrigues,PODE,SP,1293006.40
178873,Helder Salomão,PT,ES,1272810.76
220712,Fausto Jr.,UNIÃO,AM,1264414.25
226837,Saulo Pedroso,PSD,SP,1264002.05
74478,Luciano Bivar,MDB,PE,1262673.08
204462,Chris Tonietto,PL,RJ,1232027.65
204507,Carla Zambelli,PL,SP,1228875.16
152605,Glauber Braga,PSOL,RJ,1222151.78
221338,Professora Luciene Cavalcante,PSOL,SP,1221665.94
220644,Rosangela Moro,PL,SP,1220312.29
161440,Pezenti,MDB,SC,1219836.56
220533,Prof. Reginaldo Veras,PV,DF,1218268.42
220639,Guilherme Boulos,PSOL,SP,1211737.28
220713,Saullo Vianna,MDB,AM,1210794.05
204485,Luiz Carlos Motta,PL,SP,1196810.63
220552,Zucco,PL,RS,1185973.87
160510,Luis Tibé,AVANTE,MG,1183329.15
138286,Luciano Alves,PSD,PR,1172127.70
74858,Lindbergh Farias,PT,RJ,1170834.98
209787,Nikolas Ferreira,PL,MG,1169772.68
178975,Baleia Rossi,MDB,SP,1155786.43
178972,Alex Manente,CIDADANIA,SP,1145699.36
107283,Gleisi Hoffmann,PT,PR,1138349.56
220646,Felipe Becari,PODE,SP,1134600.26
178985,Miguel Lombardi,PL,SP,1134055.40
226179,Gisela Simona,UNIÃO,MT,1130117.75
204497,Júnior Ferrari,PSD,PA,1125118.01
204444,Helio Lopes,PL,RJ,1122445.65
163321,Ronaldo Nogueira,REPUBLICANOS,RS,1119752.52
